id,title,segment,function,sub_function,seniority_level,level_rank,decision_power,budget_authority,signing_threshold_usd,veto_power,proximity_to_power,reports_to_typical,scope,influence_note,send_priority,pitch_angle,cta
100,Executive Communications Director,A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
101,"Greater China Director, Corporate Communications",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Greater China,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
102,"Greater China Director, Internal Communications",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Greater China,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
103,"Greater China Director, Media Relations",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Greater China,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
104,Head of Corporate Communications,A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
105,Head of Crisis Communications,A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
106,Head of Employee Communications,A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
107,Head of Executive Communications,A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
108,Head of Internal Communications,A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
109,Head of Media Relations,A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
110,Head of Reputation Management,A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
111,"India Director, Corporate Communications",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",India,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
112,"India Director, Internal Communications",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",India,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
113,"India Director, Media Relations",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",India,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
114,Internal Communications Director,A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
115,"Japan Director, Corporate Communications",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Japan,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
116,"Japan Director, Internal Communications",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Japan,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
117,"Japan Director, Media Relations",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Japan,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
118,"Latin America Director, Corporate Communications",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Latin America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
119,"Latin America Director, Internal Communications",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Latin America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
120,"Latin America Director, Media Relations",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Latin America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
121,Media Relations Director,A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
122,"North America Director, Corporate Communications",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",North America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
